"videoID","videoPage","genre","title","subtitle","media","broadcastDate","downloadDate","videoName","videoPath","videoValidated"
"/corner/f0080444","https://tver.jp/corner/f0080444","drama","生きるとか死ぬとか父親とか","第6話 子供とか 夫婦とか","ネットもテレ東","08月08日(日)放送","2021-08-08 22:25:46","生きるとか死ぬとか父親とか 08月08日(日)放送 第6話 子供とか 夫婦とか.mp4","W:\TVer\生きるとか死ぬとか父親とか\生きるとか死ぬとか父親とか 08月08日(日)放送 第6話 子供とか 夫婦とか.mp4","1"
"/corner/f0080275","https://tver.jp/corner/f0080275","drama","ワンモア","#2 大人が制服着て何が悪い","ABCテレビ","08月08日(日)放送","-- IGNORED --","-- IGNORED --","-- IGNORED --","0"
"/corner/f0080396","https://tver.jp/corner/f0080396","drama","教場","前編","FOD見逃し無料","2020年放送","2021-08-08 22:27:13","教場 2020年放送 前編.mp4","W:\TVer\教場\教場 2020年放送 前編.mp4","1"
"/corner/f0080295","https://tver.jp/corner/f0080295","drama","痴情の接吻","第4話 「見るな減る」嫉妬まみれの三角関係","ABCテレビ","08月08日(日)放送","-- IGNORED --","-- IGNORED --","-- IGNORED --","0"
"/corner/f0080412","https://tver.jp/corner/f0080412","drama","ボクの殺意が恋をした","#5 秘密編開幕！本当の黒幕は一体誰なのか！？","日テレ無料","08月08日(日)放送","2021-08-08 22:28:42","ボクの殺意が恋をした 08月08日(日)放送 #5 秘密編開幕！本当の黒幕は一体誰なのか！？.mp4","W:\TVer\ボクの殺意が恋をした\ボクの殺意が恋をした 08月08日(日)放送 #5 秘密編開幕！本当の黒幕は一体誰なのか！？.mp4","1"
"/corner/f0080370","https://tver.jp/corner/f0080370","drama","TOKYO MER～走る緊急救命室～","第6話 小学生が山で謎の大量失踪…親子の絆を救え","TBS FREE","08月08日(日)放送","2021-08-08 22:29:26","TOKYO MER～走る緊急救命室～ 08月08日(日)放送 第6話 小学生が山で謎の大量失踪…親子の絆を救え.mp4","W:\TVer\TOKYO MER～走る緊急救命室～\TOKYO MER～走る緊急救命室～ 08月08日(日)放送 第6話 小学生が山で謎の大量失踪…親子の絆を救え.mp4","1"
"/corner/f0080289","https://tver.jp/corner/f0080289","drama","ホメられたい僕の妄想ごはん","第5話 麗しの天玉そば","テレビ大阪","08月07日(土)放送","-- IGNORED --","-- IGNORED --","-- IGNORED --","0"
"/corner/f0080135","https://tver.jp/corner/f0080135","drama","ザ・ハイスクール ヒーローズ","【青春学園ミステリー】第2話","テレ朝見逃し","08月07日(土)放送","-- IGNORED --","-- IGNORED --","-- IGNORED --","0"
"/corner/f0080374","https://tver.jp/corner/f0080374","drama","准教授・高槻彰良の推察 Season1","#1 コックリさんの怪","FOD見逃し無料","08月07日(土)放送","2021-08-08 22:31:42","准教授・高槻彰良の推察 Season1 08月07日(土)放送 #1 コックリさんの怪.mp4","W:\TVer\准教授・高槻彰良の推察 Season1\准教授・高槻彰良の推察 Season1 08月07日(土)放送 #1 コックリさんの怪.mp4","1"
"/corner/f0080441","https://tver.jp/corner/f0080441","drama","女の戦争～バチェラー殺人事件～","第6話(最終回) 花嫁の座は誰に!? 幸せの結婚式当日に御曹司を殺したのは誰!?","ネットもテレ東","08月07日(土)放送","2021-08-08 22:32:23","女の戦争～バチェラー殺人事件～ 08月07日(土)放送 第6話(最終回) 花嫁の座は誰に! 幸せの結婚式当日に御曹司を殺したのは誰!.mp4","W:\TVer\女の戦争～バチェラー殺人事件～\女の戦争～バチェラー殺人事件～ 08月07日(土)放送 第6話(最終回) 花嫁の座は誰に! 幸せの結婚式当日に御曹司を殺したのは誰!.mp4","1"
"/corner/f0080463","https://tver.jp/corner/f0080463","drama","サ道2021","第五話「大阪 ニュージャパン梅田」サウナの世界遺産でととのう","ネットもテレ東","08月06日(金)放送","2021-08-08 22:33:09","サ道2021 08月06日(金)放送 第五話「大阪 ニュージャパン梅田」サウナの世界遺産でととのう.mp4","W:\TVer\サ道2021\サ道2021 08月06日(金)放送 第五話「大阪 ニュージャパン梅田」サウナの世界遺産でととのう.mp4","1"
